,Times,MoIs,a,b,c,ones,string,Viscosity
0,212360616000.0,7.650852999453379e+17,5750.0,5549.593303510297,950.0,1,test,1000000.0
1,212360644573.2,7.661787195855418e+17,5753.38844260207,5552.6794882649565,948.3155589765322,1,test,1000000.0
2,212360673146.4,7.678855215337987e+17,5758.63819294094,5557.346963006386,945.6023408478625,1,test,1000000.0
3,212360844585.6,7.780110991624746e+17,5789.93339820544,5584.949084631927,929.4508888283128,1,test,1000000.0
4,212360844585.6,7.780110991624746e+17,5789.93339820544,5584.949084631927,929.4508888283128,1,test,1000000.0
5,212360873158.8,7.803028899738252e+17,5796.975927857088,5590.939685618798,925.8416865009203,1,test,1000000.0
6,212360901732.0,7.82727784671895e+17,5804.46148283753,5597.187057027089,922.0299236097984,1,test,1000000.0
7,212361073171.2,7.972213228481138e+17,5849.4105569348385,5634.604020513371,899.1941981684852,1,test,1000000.0
